name,url,description,stars,language
kairess/mental-health-chatbot,https://github.com/kairess/mental-health-chatbot,심리상담 정신건강 상담 챗봇.AIchatbot for psychology consultation.,55,Jupyter Notebook
jahnavik186/AI-Mental-Health-Companion,https://github.com/jahnavik186/AI-Mental-Health-Companion,"An intelligent, interactivementalhealthcompanion that uses Large Language Models (LLMs) combined with RAG to provide context-awaremental",21,Python
PoyBoi/MindEase,https://github.com/PoyBoi/MindEase,AIbasedMentalHealthCounsellor /MentalHealthAssistant,45,Python
Shivam1337/MindCrafter,https://github.com/Shivam1337/MindCrafter,AI& ML BasedMentalHealthDiagnosis & Consulting App.,90,Dart
RCTS-IIITH/AI-Assisted-Mental-Health-Screening-Application,https://github.com/RCTS-IIITH/AI-Assisted-Mental-Health-Screening-Application,"To expand the scope of existingmentalhealthscreening questionnaires by creating a Chat Bot styled testing application, allowing for en…",5,JavaScript
dhrumilp12/Mental-Health-Companion,https://github.com/dhrumilp12/Mental-Health-Companion,"This app would providementalhealthsupport through conversationalAI, offering personalized advice, mood tracking, andmentalhealthre…",25,JavaScript
mujiyantosvc/Facial-Expression-Recognition-FER-for-Mental-Health-Detection-,https://github.com/mujiyantosvc/Facial-Expression-Recognition-FER-for-Mental-Health-Detection-,"Facial Expression Recognition (FER) forMentalHealthDetection appliesAImodels like Swin Transformer, CNN, and ViT for detecting emot…",36,Python
SherazAsghar37/ai_mental_health,https://github.com/SherazAsghar37/ai_mental_health,,14,Dart
galihru/MentalHealth,https://github.com/galihru/MentalHealth,A comprehensivementalhealthmonitoring application using modern web technologies.,21,HTML
Sanjana-Rajagopala/AI_Healthcare_Chatbot,https://github.com/Sanjana-Rajagopala/AI_Healthcare_Chatbot,Created a chatbot that acts as virtual healthcare assistant to patients withmentalhealthproblems.,26,
ZenYukti/OpenMindWell,https://github.com/ZenYukti/OpenMindWell,"AI-poweredmentalhealthsupport platform with anonymous chat, crisis detection, and peer support - Self-hosted & open source by Team Zen…",48,TypeScript
VaibhaveS/MentalHealthWithAI,https://github.com/VaibhaveS/MentalHealthWithAI,"divorcePRED offers an end to end solution from predicting the state of marriage with the help of machine learning, finding like minded pe…",6,Python
arunprasad-04/-Emotion-AI-Mental-Health-Chatbot,https://github.com/arunprasad-04/-Emotion-AI-Mental-Health-Chatbot,,26,Python
neilgebhard/ai-therapist,https://github.com/neilgebhard/ai-therapist,A personalAItherapist to help you with yourmentalhealth,25,TypeScript
Mercytopsy/AI-Health-Supervisor-Agent,https://github.com/Mercytopsy/AI-Health-Supervisor-Agent,"A multi-agentAIsystem designed to provide personalizedhealthguidance across fitness, diet, andmentalwellness",18,Jupyter Notebook
HemantKumar01/SoulScript,https://github.com/HemantKumar01/SoulScript,PersonalAIMentalHealthTherapist,6,TypeScript
AryanNayak/Muse,https://github.com/AryanNayak/Muse,AnAIMentalHealthChatbot,11,Jupyter Notebook
yogyagit/IvyHacks2024_MentalHealth,https://github.com/yogyagit/IvyHacks2024_MentalHealth,ThinkWellAI: A real-timementalhealthsupport app leveragingAI-driven CBT techniques for personalized therapy sessions.,10,Python
23W-GBAC/RHYAN2,https://github.com/23W-GBAC/RHYAN2,"Mentalhealth,cancer andAI",5,Python
Rahul-Sahani04/Mental-Health-AI-Assistant,https://github.com/Rahul-Sahani04/Mental-Health-AI-Assistant,MentalSupport Chatbot App: A Streamlit application implementing aMentalSupport Chatbot powered by Google GenerativeAI. Engage in conv…,6,Python
revolutionarybukhari/ai-calling-agent,https://github.com/revolutionarybukhari/ai-calling-agent,"I have used technologies like Twilio , openai , pinecone , Mongodb, to make an automated calling agent for both inbound and outbound call…",45,Python
alvii147/HachikosJournal,https://github.com/alvii147/HachikosJournal,AI-based application formentalhealthjournal writing with virtual assistant,9,Python
BinaryStudioAcademy/bsa-2023-calmpal,https://github.com/BinaryStudioAcademy/bsa-2023-calmpal,AI-poweredmentalhealthapplication,3,TypeScript
Sakaar-Sen/MentalHealthBot,https://github.com/Sakaar-Sen/MentalHealthBot,AnAI-poweredmentalhealthchatbot created using the LangChain framework.,12,Python
galihru/facemind,https://github.com/galihru/facemind,application uses computer vision and machine learning to analyzementalhealthbased on facial expressions. The app includes login system…,35,TeX
siddythings/system-prompts-and-models-of-ai-tools,https://github.com/siddythings/system-prompts-and-models-of-ai-tools,"A comprehensive collection ofAIsystem prompts, tools, and implementations across various domains including healthcare, voiceAI,mentalh…",49,
mithatco/mental_health_multiagent,https://github.com/mithatco/mental_health_multiagent,💡 Resources for the CIKM 2025 paper: TrustworthyAIPsychotherapy: Multi-Agent LLM Workflow for Counseling and ExplainableMentalDisorde…,11,Python
starlightknown/AIry_pages,https://github.com/starlightknown/AIry_pages,hackOn 2.0 Hack formentalhealthand awareness and voice hack category,8,CSS
Saurabhtbj1201/MindSpace-Digital-Mental-Health-Support-Platform,https://github.com/Saurabhtbj1201/MindSpace-Digital-Mental-Health-Support-Platform,"The platform combines cutting-edge technology includingAI, IoT, and data analytics to provide personalizedmentalhealthsupport, resour…",4,JavaScript
SohaibAamir28/Personalized_Mental_Healthcare-Chatbot,https://github.com/SohaibAamir28/Personalized_Mental_Healthcare-Chatbot,"The app is anAI-powered chatbot that offers personalizedmentalhealthcare support to users, providing evidence-based advice and helping…",8,Python
behtar-foundation/Sukoon,https://github.com/behtar-foundation/Sukoon,We want to build open-source solutions and standards for usingAIto solvementalhealthchallenges. The goal is to apply DPI knowledge a…,27,Jupyter Notebook
rrishi0309/Mental-Health-AI-Companion,https://github.com/rrishi0309/Mental-Health-AI-Companion,"AnAI-poweredMentalHealthCompanion leveraging Retool and GPT-4o to deliver empathetic, anonymous, and supportive conversations for str…",5,
aiproduct-creators/mental-health-ai,https://github.com/aiproduct-creators/mental-health-ai,,2,Python
Sukoon-A-Mental-Wellness-Platform/website,https://github.com/Sukoon-A-Mental-Wellness-Platform/website,"AI-poweredmentalhealthplatform with dream analysis, virtual therapy, and student wellness tools.",14,JavaScript
shreyasharma04/HealthChatbot,https://github.com/shreyasharma04/HealthChatbot,"... used are diagnostics, patient engagement outside medical facilities, andmentalhealth. In our major we are working on diagnostic. 📃 …",126,Python
TAHIR0110/ThereForYou,https://github.com/TAHIR0110/ThereForYou,"ThereForYou: Yourmentalhealthally. Kai, ourAIassistant, offers compassionate support. Track your mood trends, find solace in a secur…",89,Python
Anil951/Early-detection-of-mental-health,https://github.com/Anil951/Early-detection-of-mental-health,"This project develops a predictive model to identify early signs ofmentalhealthissues in adolescents using social media activity, scho…",7,Jupyter Notebook
zenn-ai/zen,https://github.com/zenn-ai/zen,Zen -AIMentalHealthCounselor,7,Python
demoslayer/Mental-health-Chatbot-MERN-STACK,https://github.com/demoslayer/Mental-health-Chatbot-MERN-STACK,TheMentalHealthChatbot is a MERN stack web app that provides users withmentalhealthsupport through anAI-powered chatbot. Users can…,13,JavaScript
Bhargav1144/Mental_Health_Chatbot,https://github.com/Bhargav1144/Mental_Health_Chatbot,"A Streamlit-basedAIchatbot offering compassionatementalhealthsupport using models like Mistral, LLaMA, DeepSeek, and Cohere. It prov…",5,Python
djpapzin/MentalWellnessChatbot,https://github.com/djpapzin/MentalWellnessChatbot,"AIchatbot formentalhealthadvice using Streamlit, LangChain, and Llama 2 by Meta. Retrieves info from PDFs and offers real-time responses",4,Python
h8-hackathon/livy,https://github.com/h8-hackathon/livy,Online Counseling App forMentalHealth,8,JavaScript
annu12340/Haven,https://github.com/annu12340/Haven,"Winner of the international MongoDBAIHackathon, Haven is anAI-powered solution empowering women in abusive situations with discreet h…",30,TypeScript
Elliot-D-Hill/abcd,https://github.com/Elliot-D-Hill/abcd,Leveraging the largest US study of adolescent neurodevelopment to trainAImodels for longitudinalmentalhealthprediction,12,Python
Aditya-Ohri/Self.ai,https://github.com/Aditya-Ohri/Self.ai,AnAI-poweredmentalhealthplatform built at Hack the Hammer 2,5,HTML
darshitk19/AI-Powered_Mental_Health_Prediction_System,https://github.com/darshitk19/AI-Powered_Mental_Health_Prediction_System,"A deep learning project that predicts emotions from multiple data types — text, audio, and images. It uses CNNs for visual cues, RNNs for…",7,Jupyter Notebook
amrita-thakur/mental-healthcare-chatbot,https://github.com/amrita-thakur/mental-healthcare-chatbot,This repository contains amentalhealthcare chatbot application,5,Python
miriandres/Happy2Help-chatbot,https://github.com/miriandres/Happy2Help-chatbot,🧠 Happy2Help is yourmentalhealthchatbot,6,Python
deepakuy/mindbridge-ai-hackathon,https://github.com/deepakuy/mindbridge-ai-hackathon,AI-poweredmentalhealthearly intervention system,0,Python
Adedolapo-Oguntayo/Basic-Needs-Basic-Rights-Kenya-Tech4Mental-Health,https://github.com/Adedolapo-Oguntayo/Basic-Needs-Basic-Rights-Kenya-Tech4Mental-Health,Around 1 in 4 people will experience amentalhealthproblem this year. Low-income countries have an estimated treatment gap of 85% (as c…,10,Jupyter Notebook
